X,Y,district,monument_id,ste_name,period,category,subcategory,type
428931.9998,6817417,Sysmä,1000037479,Hyväniementie 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
364678.0001,6712576,Vihti,1000038096,Syökeri,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
345543.0001,6786950,Valkeakoski,1000038103,Niihami,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
232449.9998,6729586,Nousiainen,1000037444,Tapani,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
429062,6817999,Sysmä,1000037480,Hyväsaari 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
209197.0624,6738670.381,Vehmaa,1000016645,Pappila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
487681.9999,7372126,Rovaniemi,1000018815,Sattajärvi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
213575.3033,6738930.298,Vehmaa,1000016644,Huolila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
332589.0003,6660403,Inkoo,1000038700,Västergård,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
208968.9999,6753391,Uusikaupunki,1000038703,Vilon Myllymäki 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
232907.0003,6715571,Raisio,1000038704,Vähä-Pirilän pelto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
705297.0002,6958465,Ilomantsi,1000038712,Karvila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
630972.9999,6833022,Parikkala,1000023035,Vaahermäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
594744.9999,6796481,Ruokolahti,1000021182,Salosaari Kuusimäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
409516.9998,6800479,Padasjoki,1000023678,Verhon risteys 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
223788.0003,6731717,Mynämäki,1000023113,Vapola,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
644363.0002,7172155,Suomussalmi,777010035,Kuikkaniemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
580793.0003,7102084,Sotkamo,1000023193,Heinonen 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
372987.0002,6751330,Janakkala,1000023202,Vanaantaka,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
612625.9998,7113436,Kuhmo,290040006,Salmi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
