objecttype,easting,northing,seals,fromdate,todate
BELT,"622000","162000","0","1100","1540"
BELT,"560000","171000","0","1200","1399"
BELT,"568000","158000","0","1200","1500"
BELT,"568000","158000","0","1200","1500"
BELT,"626000","147000","0","1300","1400"
BELT,"623000","146000","0","1475","1600"
BELT,"573000","162000","0","1500","1700"
BELT,"578000","160000","0","1500","1700"
BELT,"578000","160000","0","1500","1700"
BELT,"588000","163000","0","1500","1700"
BELT,"604000","126000","0","1500","1650"
BELT,"626000","152000","0","1500","1600"
BELT,"630000","156000","0","1500","1600"
BELT,"561000","171000","0","1550","1650"
BELT,"577000","137000","0","1600","1700"
BELT,"582000","138000","0","1800","1950"
BIRD FEEDER,"557000","166000","0","1500","1800"
BLADE,"620000","149000","0","1650","1850"
BODKIN,"607000","134000","0","1550","1650"
BODKIN,"594000","145000","0","1600","1700"
BODKIN,"626000","147000","0","1600","1700"
BODKIN,"634000","148000","0","1600","1700"
BOLT (FASTENING),"552000","174000","0","1800","1950"
BOOK CLASP,"631000","155000","0","1200","1600"
BOOK FITTING,"598000","126000","0","1066","1500"
BOOK FITTING,"603000","125000","0","1066","1500"
BOOK FITTING,"605000","123000","0","1100","1250"
BOOK FITTING,"562000","154000","0","1200","1540"
BOOK FITTING,"598000","126000","0","1200","1500"
BOOK FITTING,"603000","125000","0","1200","1400"
BOOK FITTING,"626000","156000","0","1200","1400"
BOOK FITTING,"636000","148000","0","1200","1400"
BOOK FITTING,"634000","150000","0","1250","1500"
BOOK FITTING,"602000","166000","0","1270","1310"
BOOK FITTING,"578000","157000","0","1300","1400"
BOOK FITTING,"597000","125000","0","1300","1600"
BOOK FITTING,"610000","141000","0","1350","1450"
BOOK FITTING,"616000","140000","0","1350","1450"
BOOK FITTING,"620000","150000","0","1350","1500"
BOOK FITTING,"562000","149000","0","1400","1600"
BOOK FITTING,"603000","120000","0","1400","1600"
BOOK FITTING,"603000","120000","0","1400","1600"
BOOK FITTING,"589000","151000","0","1450","1700"
BOOK FITTING,"593000","153000","0","1450","1700"
BOOK FITTING,"594000","154000","0","1450","1600"
BOOK FITTING,"600000","155000","0","1450","1700"
BOOK FITTING,"627000","164000","0","1450","1700"
BOOK FITTING,"589000","150000","0","1500","1700"
BOOK FITTING,"594000","145000","0","1500","1600"
BOOK FITTING,"594000","154000","0","1500","1700"
BOOK FITTING,"615000","140000","0","1500","1700"
BOOK FITTING,"625000","167000","0","1600","1700"
BOX,"604000","124000","0","1200","1300"
BOX,"611000","139000","0","1600","1700"
BRACELET,"624000","137000","0","1600","1900"
BRACELET,"574000","176000","0","1800","1900"
BRIDLE BIT,"556000","170000","0","975","1075"
BRIDLE BIT,"591000","146000","0","1000","1050"
BRIDLE BIT,"599000","126000","0","1000","1100"
BRIDLE BIT,"601000","127000","0","1000","1100"
BRIDLE BIT,"603000","125000","0","1000","1100"
BRIDLE BIT,"603000","126000","0","1000","1100"
BRIDLE BIT,"606000","154000","0","1000","1100"
BRIDLE BIT,"607000","129000","0","1000","1200"
BRIDLE BIT,"607000","165000","0","1000","1100"
BRIDLE BIT,"616000","140000","0","1000","1100"
BRIDLE BIT,"620000","151000","0","1000","1100"
BRIDLE BIT,"622000","154000","0","1000","1100"
BRIDLE BIT,"635000","145000","0","1000","1100"
BRIDLE BIT,"606000","132000","0","1020","1100"
BRIDLE BIT,"625000","166000","0","1020","1100"
BRIDLE BIT,"564000","169000","0","1050","1200"
BRIDLE BIT,"625000","166000","0","1500","1800"
BRIDLE BIT,"580000","157000","0","1625","1700"
BRIDLE FITTING,"602000","161000","0","900","1000"
BRIDLE FITTING,"625000","167000","0","950","1100"
BRIDLE FITTING,"590000","151000","0","1000","1100"
BRIDLE FITTING,"603000","125000","0","1000","1100"
BRIDLE FITTING,"625000","147000","0","1000","1150"
BRIDLE FITTING,"635000","146000","0","1000","1100"
BRIDLE FITTING,"591000","147000","0","1200","1500"
BRIDLE FITTING,"588000","162000","0","1450","1700"
BROOCH,"607000","165000","0","800","1066"
BROOCH,"607000","165000","0","800","1066"
BROOCH,"624000","158000","0","800","1000"
BROOCH,"626000","166000","0","800","1000"
BROOCH,"615000","153000","0","850","1000"
BROOCH,"586000","153000","0","900","1100"
BROOCH,"607000","150000","0","900","1100"
BROOCH,"615000","140000","0","900","1200"
BROOCH,"581000","157000","0","950","1150"
BROOCH,"607000","153000","0","950","1050"
BROOCH,"603000","128000","0","975","1100"
BROOCH,"627000","166000","0","975","1100"
BROOCH,"581000","154000","0","1066","1500"
BROOCH,"583000","156000","0","1066","1540"
BROOCH,"603000","125000","0","1066","1540"
BROOCH,"609000","131000","0","1066","1540"
BROOCH,"622000","162000","0","1066","1540"
BROOCH,"629000","160000","0","1066","1540"
BROOCH,"556000","170000","0","1100","1500"
BROOCH,"567000","167000","0","1100","1199"
BROOCH,"620000","150000","0","1100","1500"
BROOCH,"628000","156000","0","1100","1199"
BROOCH,"606000","154000","0","1150","1700"
BROOCH,"627000","164000","0","1150","1450"
BROOCH,"545000","146000","0","1200","1499"
BROOCH,"558000","172000","0","1200","1500"
BROOCH,"566000","157000","0","1200","1399"
BROOCH,"570000","170000","0","1200","1399"
BROOCH,"570000","172000","0","1200","1500"
BROOCH,"582000","161000","0","1200","1400"
BROOCH,"587000","164000","0","1200","1299"
BROOCH,"588000","163000","0","1200","1500"
BROOCH,"588000","163000","0","1200","1500"
BROOCH,"594000","140000","0","1200","1400"
BROOCH,"594000","145000","0","1200","1350"
BROOCH,"597000","160000","0","1200","1300"
BROOCH,"598000","126000","0","1200","1500"
BROOCH,"603000","125000","0","1200","1399"
BROOCH,"603000","125000","0","1200","1400"
BROOCH,"605000","124000","0","1200","1500"
BROOCH,"605000","125000","0","1200","1500"
BROOCH,"605000","125000","0","1200","1500"
BROOCH,"605000","131000","0","1200","1299"
BROOCH,"607000","129000","0","1200","1500"
BROOCH,"607000","130000","0","1200","1400"
BROOCH,"607000","153000","0","1200","1400"
BROOCH,"608000","132000","0","1200","1400"
BROOCH,"609000","132000","0","1200","1300"
BROOCH,"610000","132000","0","1200","1400"
BROOCH,"610000","141000","0","1200","1500"
BROOCH,"610000","141000","0","1200","1350"
BROOCH,"610000","141000","0","1200","1400"
BROOCH,"614000","157000","0","1200","1400"
BROOCH,"616000","140000","0","1200","1300"
BROOCH,"616000","140000","0","1200","1350"
BROOCH,"617000","166000","0","1200","1350"
BROOCH,"617000","166000","0","1200","1350"
BROOCH,"620000","149000","0","1200","1400"
BROOCH,"621000","149000","0","1200","1300"
BROOCH,"622000","160000","0","1200","1300"
BROOCH,"625000","168000","0","1200","1450"
BROOCH,"628000","165000","0","1200","1400"
BROOCH,"632000","157000","0","1200","1400"
BROOCH,"634000","146000","0","1200","1300"
BROOCH,"634000","149000","0","1200","1400"
BROOCH,"635000","149000","0","1200","1400"
BROOCH,"568000","160000","0","1248","1250"
BROOCH,"556000","167000","0","1250","1400"
BROOCH,"594000","145000","0","1250","1400"
BROOCH,"597000","125000","0","1250","1300"
BROOCH,"605000","124000","0","1250","0"
BROOCH,"552000","162000","0","1270","1400"
BROOCH,"625000","151000","0","1270","1350"
BROOCH,"568000","167000","0","1280","1300"
BROOCH,"612000","150000","0","1280","1281"
BROOCH,"552000","159000","0","1300","1600"
BROOCH,"560000","171000","0","1300","1400"
BROOCH,"603000","125000","0","1300","1400"
BROOCH,"605000","124000","0","1300","1500"
BROOCH,"608000","151000","0","1300","1500"
BROOCH,"612000","155000","0","1300","1399"
BROOCH,"613000","155000","0","1300","1399"
BROOCH,"617000","154000","0","1300","1400"
BROOCH,"619000","147000","0","1300","1400"
BROOCH,"636000","147000","0","1300","1399"
BROOCH,"560000","169000","0","1325","1400"
BROOCH,"629000","160000","0","1350","1400"
BROOCH,"589000","127000","0","1500","1800"
BROOCH,"590000","151000","0","1600","1900"
BROOCH,"613000","148000","0","1775","1900"
BROOCH,"573000","160000","0","1800","1950"
BROOCH,"591000","147000","0","1800","0"
BROOCH,"591000","147000","0","1800","0"
BROOCH,"570000","172000","0","1850","1970"
BROOCH,"591000","147000","0","1900","0"
BUCKLE,"594000","150000","0","800","1100"
BUCKLE,"584000","159000","0","1000","1150"
BUCKLE,"603000","125000","0","1000","1100"
BUCKLE,"603000","125000","0","1000","1200"
BUCKLE,"603000","128000","0","1000","1100"
BUCKLE,"604000","130000","0","1000","1150"
BUCKLE,"605000","126000","0","1000","1100"
BUCKLE,"607000","165000","0","1000","1100"
BUCKLE,"615000","139000","0","1000","1150"
BUCKLE,"615000","156000","0","1000","1200"
BUCKLE,"621000","149000","0","1000","1100"
BUCKLE,"616000","141000","0","1050","1200"
BUCKLE,"598000","128000","0","1066","1499"
BUCKLE,"598000","140000","0","1066","1539"
BUCKLE,"603000","125000","0","1066","1800"
BUCKLE,"603000","125000","0","1066","1540"
BUCKLE,"603000","125000","0","1066","1540"
BUCKLE,"607000","128000","0","1066","1500"
BUCKLE,"556000","170000","0","1100","1400"
BUCKLE,"562000","170000","0","1100","1500"
BUCKLE,"562000","171000","0","1100","1500"
BUCKLE,"568000","167000","0","1100","1500"
BUCKLE,"568000","167000","0","1100","1400"
BUCKLE,"603000","125000","0","1100","1500"
BUCKLE,"603000","125000","0","1100","1500"
BUCKLE,"603000","125000","0","1100","1500"
BUCKLE,"603000","125000","0","1100","1500"
BUCKLE,"603000","125000","0","1100","1500"
BUCKLE,"603000","125000","0","1100","1900"
BUCKLE,"603000","125000","0","1100","1900"
BUCKLE,"603000","125000","0","1100","1900"
BUCKLE,"603000","125000","0","1100","1900"
BUCKLE,"604000","124000","0","1100","1500"
BUCKLE,"604000","124000","0","1100","1500"
BUCKLE,"616000","140000","0","1100","1500"
BUCKLE,"617000","159000","0","1100","1350"
BUCKLE,"622000","153000","0","1100","1500"
BUCKLE,"627000","166000","0","1100","1200"
BUCKLE,"556000","169000","0","1150","1400"
BUCKLE,"562000","171000","0","1150","1400"
BUCKLE,"562000","171000","0","1150","1400"
BUCKLE,"562000","171000","0","1150","1400"
BUCKLE,"572000","158000","0","1150","1450"
BUCKLE,"603000","120000","0","1150","1400"
BUCKLE,"607000","129000","0","1150","1200"
BUCKLE,"617000","159000","0","1150","1350"
BUCKLE,"618000","143000","0","1150","1450"
BUCKLE,"621000","149000","0","1150","1300"
BUCKLE,"626000","166000","0","1150","1500"
BUCKLE,"626000","166000","0","1150","1450"
BUCKLE,"552000","159000","0","1200","1400"
BUCKLE,"558000","172000","0","1200","1399"
BUCKLE,"560000","163000","0","1200","1500"
BUCKLE,"562000","170000","0","1200","1540"
BUCKLE,"568000","158000","0","1200","1400"
BUCKLE,"568000","158000","0","1200","1540"
BUCKLE,"568000","158000","0","1200","1540"
BUCKLE,"568000","168000","0","1200","1400"
BUCKLE,"570000","172000","0","1200","1500"
BUCKLE,"570000","172000","0","1200","1500"
BUCKLE,"570000","172000","0","1200","1500"
BUCKLE,"570000","172000","0","1200","1500"
BUCKLE,"571000","170000","0","1200","1400"
BUCKLE,"572000","161000","0","1200","1500"
BUCKLE,"580000","157000","0","1200","1300"
BUCKLE,"583000","154000","0","1200","1400"
BUCKLE,"588000","162000","0","1200","1450"
BUCKLE,"591000","147000","0","1200","1300"
BUCKLE,"602000","151000","0","1200","1500"
BUCKLE,"603000","125000","0","1200","1500"
BUCKLE,"603000","125000","0","1200","1400"
BUCKLE,"603000","128000","0","1200","1400"
BUCKLE,"604000","123000","0","1200","1500"
BUCKLE,"604000","124000","0","1200","1400"
BUCKLE,"604000","124000","0","1200","1400"
BUCKLE,"605000","124000","0","1200","1500"
BUCKLE,"605000","125000","0","1200","1500"
