objecttype,broadperio,fromdate,todate,old_findID
COIN,ROMAN,364,378,WILT-7206E3
COIN,ROMAN,364,378,WILT-BEC51E
COIN,ROMAN,364,378,WILT-93EA21
COIN,ROMAN,364,378,WILT-9272BE
COIN,ROMAN,364,378,WILT-90430D
COIN,ROMAN,364,378,WILT-2C2FD6
COIN,ROMAN,364,378,WILT-82973D
COIN,ROMAN,364,378,WILT-8291FD
COIN,ROMAN,364,378,WILT-828C2B
COIN,ROMAN,364,378,WILT-82857D
COIN,ROMAN,364,378,WILT-827F2D
COIN,ROMAN,364,378,WILT-827A01
COIN,ROMAN,364,378,WILT-8275AF
COIN,ROMAN,364,378,WILT-8270E6
COIN,ROMAN,364,378,WILT-826C0C
COIN,ROMAN,364,378,WILT-82651E
COIN,ROMAN,364,378,WILT-924DC0
COIN,ROMAN,364,378,WILT-91EA97
COIN,ROMAN,364,378,WILT-91C72B
COIN,ROMAN,364,378,WILT-010761
COIN,ROMAN,364,378,WILT-FFAA4E
COIN,ROMAN,364,378,WILT-FF5409
COIN,ROMAN,364,378,WILT-ACAB36
COIN,ROMAN,364,378,WILT-ABFCA8
COIN,ROMAN,364,378,WILT-3F30F7
COIN,ROMAN,364,378,BM-CB05A4
COIN,ROMAN,364,378,BM-BB622F
COIN,ROMAN,364,378,BM-BB33E6
COIN,ROMAN,364,378,BM-BA8D08
COIN,ROMAN,364,378,BM-B7ABEA
COIN,ROMAN,364,378,BM-B7926E
COIN,ROMAN,364,378,BM-B752C0
COIN,ROMAN,364,378,BM-B745C4
COIN,ROMAN,364,378,WILT-762D60
COIN,ROMAN,364,378,WILT-762277
COIN,ROMAN,364,378,WILT-7615A3
COIN,ROMAN,364,378,WILT-760091
COIN,ROMAN,364,378,WILT-74F585
COIN,ROMAN,364,378,WILT-74B414
COIN,ROMAN,364,378,WILT-74A456
COIN,ROMAN,364,378,WILT-12F5C6
COIN,ROMAN,364,378,WILT-C3EB77
COIN,ROMAN,364,378,WILT-C3CED5
COIN,ROMAN,364,378,WILT-C3A964
COIN,ROMAN,364,378,SOM-08C352
COIN,ROMAN,364,378,SOM-089243
COIN,ROMAN,364,378,SOM-087252
COIN,ROMAN,364,378,BM-8211AD
COIN,ROMAN,364,378,BM-6978BC
COIN,ROMAN,364,378,BM-579B6E
COIN,ROMAN,364,378,BM-5791D2
COIN,ROMAN,364,378,BM-575EEC
COIN,ROMAN,364,378,BM-5756EC
COIN,ROMAN,364,378,BM-57499F
COIN,ROMAN,364,378,BM-4DE138
COIN,ROMAN,364,378,BM-4C34C2
COIN,ROMAN,364,378,BM-4C24B4
COIN,ROMAN,364,378,BM-4BC9FB
COIN,ROMAN,364,378,WILT-368434
COIN,ROMAN,364,378,BM-977B3A
COIN,ROMAN,364,378,BM-977121
COIN,ROMAN,364,378,BM-6EE892
COIN,ROMAN,364,378,BM-6ECCA5
COIN,ROMAN,364,378,BM-6EC3E8
COIN,ROMAN,364,378,BM-6EBCC4
COIN,ROMAN,364,378,BM-6D318C
COIN,ROMAN,364,378,BM-6C4C3B
COIN,ROMAN,364,378,BM-6C299C
COIN,ROMAN,364,378,WILT-3FFF45
COIN,ROMAN,364,378,WILT-3FD912
COIN,ROMAN,364,378,WILT-3FAA80
COIN,ROMAN,364,378,BM-ABE032
COIN,ROMAN,364,378,BM-ABD5C6
COIN,ROMAN,364,378,BM-ABCCE2
COIN,ROMAN,364,378,BM-ABC6C6
COIN,ROMAN,364,378,BM-AB84A0
COIN,ROMAN,364,378,BM-AB7C2D
COIN,ROMAN,364,378,BM-AB76D1
COIN,ROMAN,364,378,BM-AB7078
COIN,ROMAN,364,378,BM-AB65A4
COIN,ROMAN,364,378,WILT-A0D253
COIN,ROMAN,364,378,SOM-03DF48
COIN,ROMAN,364,378,SOM-03D133
COIN,ROMAN,364,378,SOM-03B7B3
COIN,ROMAN,367,375,WILT-3F6CF5
COIN,ROMAN,367,375,SOM-53C6A5
COIN,ROMAN,367,375,SOM-6D5DD0
COIN,ROMAN,367,375,BM-B7C0B9
COIN,ROMAN,367,375,SOM-0938C3
COIN,ROMAN,367,375,BM-57F6F8
COIN,ROMAN,367,375,BM-57DBE4
COIN,ROMAN,367,375,BM-57C3D4
COIN,ROMAN,367,375,BM-576A6A
COIN,ROMAN,367,375,BM-4EAB26
COIN,ROMAN,367,375,BM-832366
COIN,ROMAN,367,375,BM-831807
COIN,ROMAN,367,375,BM-831017
COIN,ROMAN,367,375,BM-8301A8
COIN,ROMAN,367,375,BM-ABAF93
COIN,ROMAN,367,375,BM-AB2A52
COIN,ROMAN,367,375,BM-AB2181
COIN,ROMAN,367,375,BM-AB1905
COIN,ROMAN,367,378,SOM-02CD32
COIN,ROMAN,367,378,WILT-29967C
COIN,ROMAN,367,378,WILT-298B5D
COIN,ROMAN,367,378,WILT-28E811
COIN,ROMAN,367,378,WILT-28DDAB
COIN,ROMAN,367,378,WILT-74EB25
COIN,ROMAN,367,378,WILT-74DD44
COIN,ROMAN,367,378,BM-4BBA47
COIN,ROMAN,375,392,BM-83E11D
COIN,ROMAN,378,388,BM-4E5536
COIN,ROMAN,378,388,WILT-A5C085
COIN,ROMAN,378,402,BM-6AE2EC
COIN,ROMAN,378,402,BM-4EB782
COIN,ROMAN,378,402,BM-83F5F4
COIN,ROMAN,379,383,SOM-051DF3
COIN,ROMAN,379,402,WILT-71EC65
COIN,ROMAN,387,388,BM-B9ED05
COIN,ROMAN,387,388,BM-B9E0E2
COIN,ROMAN,387,388,BM-6AD272
COIN HOARD,ROMAN,387,388,WILT-DD7285
COIN,ROMAN,388,392,BM-BA426A
COIN,ROMAN,388,392,BM-BA0993
COIN,ROMAN,388,392,BM-6B02CB
COIN,ROMAN,388,392,BM-83B5EC
COIN,ROMAN,388,395,BM-BA1F34
COIN,ROMAN,388,395,WILT-7514B8
COIN,ROMAN,388,395,BM-6B0D54
COIN,ROMAN,388,395,BM-6AF2AE
COIN,ROMAN,388,395,BM-83C0D7
COIN,ROMAN,388,395,BM-83A2F5
COIN,ROMAN,388,395,BM-839815
COIN,ROMAN,388,395,SOM-05E905
COIN,ROMAN,388,395,SOM-05CD48
COIN,ROMAN,388,402,SOM-032D55
COIN,ROMAN,388,402,WILT-29F3BA
COIN,ROMAN,388,402,WILT-8D61CD
COIN,ROMAN,388,402,WILT-71C4E7
COIN,ROMAN,388,402,WILT-BE9D2E
COIN,ROMAN,388,402,WILT-A95C0E
COIN,ROMAN,388,402,WILT-945F47
COIN,ROMAN,388,402,BM-BB4873
COIN,ROMAN,388,402,BM-BA34D0
COIN,ROMAN,388,402,WILT-763701
COIN,ROMAN,388,402,WILT-12D252
COIN,ROMAN,388,402,WILT-12C663
COIN,ROMAN,388,402,BM-6ADC2E
COIN,ROMAN,388,402,BM-4E9D9D
COIN,ROMAN,388,402,BM-4E93BE
COIN,ROMAN,388,402,BM-838C7F
COIN,ROMAN,388,402,BM-ABF318
COIN,ROMAN,392,394,WILT-7652B3
COIN,ROMAN,395,408,WILT-100492
BROOCH,IRON AGE,400,200,WILT-89BBAC
BUCKLE,EARLY MEDIEVAL,400,720,WILT-7AB136
PIN,EARLY MEDIEVAL,400,720,WILT-B7E3D7
BUCKLE,EARLY MEDIEVAL,400,720,WILT-BFDF38
BUCKLE,EARLY MEDIEVAL,400,720,WILT-BEED93
BUCKLE,EARLY MEDIEVAL,400,720,WILT-BF5525
BUCKLE,EARLY MEDIEVAL,410,720,WILT-1DD403
SPANGLE,EARLY MEDIEVAL,410,1066,WILT-B5EAA5
BELL,EARLY MEDIEVAL,410,1066,WILT-99FB4B
BROOCH,EARLY MEDIEVAL,450,570,WILT-BD7517
SCABBARD,EARLY MEDIEVAL,500,700,WILT-4008EB
BRACTEATE,EARLY MEDIEVAL,500,700,WILT-938D13
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-3E7E57
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-3E32E2
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-C82965
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-C90750
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-C7A392
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-C89BC8
HOOKED TAG,EARLY MEDIEVAL,600,1150,WILT-C86616
HOOKED TAG,EARLY MEDIEVAL,600,1200,WILT-00B509
SCABBARD,EARLY MEDIEVAL,601,700,WILT-9195E0
COIN,EARLY MEDIEVAL,700,710,SOM-0255E3
BROOCH,EARLY MEDIEVAL,700,900,SOM-2F047C
PIN,EARLY MEDIEVAL,700,920,WILT-3F2C06
HOOKED TAG,EARLY MEDIEVAL,700,1066,WILT-7611E2
COIN,EARLY MEDIEVAL,720,745,WILT-B56771
PIN,EARLY MEDIEVAL,720,900,WILT-FFA8DB
PIN,EARLY MEDIEVAL,720,900,WILT-FF8E89
PIN,EARLY MEDIEVAL,720,900,WILT-00464E
PIN,EARLY MEDIEVAL,720,1700,WILT-FFDC5A
PIN,EARLY MEDIEVAL,720,1700,WILT-002AA9
PIN,EARLY MEDIEVAL,720,1700,WILT-FFFFEB
PIN,EARLY MEDIEVAL,720,1700,WILT-FF6738
STRAP END,EARLY MEDIEVAL,750,1000,WILT-858B74
STRAP END,EARLY MEDIEVAL,750,1100,WILT-83DDDC
STRAP END,EARLY MEDIEVAL,750,1100,WILT-7AC4CE
STRAP END,EARLY MEDIEVAL,750,1100,WILT-843BB2
STRAP END,EARLY MEDIEVAL,750,1100,WILT-AA6691
STRAP END,EARLY MEDIEVAL,750,1100,WILT-83593B
SCABBARD,EARLY MEDIEVAL,775,925,SOM-01EEB7
PIN,EARLY MEDIEVAL,800,870,WILT-019B91
STRAP END,EARLY MEDIEVAL,800,925,WILT-7B1037
HOOKED TAG,EARLY MEDIEVAL,800,1000,WILT-764F80
HOOKED TAG,EARLY MEDIEVAL,800,1100,WILT-3BBB2C
STRAP END,EARLY MEDIEVAL,800,1100,WILT-4AE713
HOOKED TAG,EARLY MEDIEVAL,800,1300,WILT-75B124
HOOKED TAG,EARLY MEDIEVAL,850,1150,WILT-417FF5
BUCKLE,EARLY MEDIEVAL,900,1000,WILT-ABB86B
MOUNT,EARLY MEDIEVAL,900,1100,WILT-26D171
COIN,EARLY MEDIEVAL,946,955,SOM-4B1C8A
BROOCH,EARLY MEDIEVAL,975,1025,WILT-237DC1
HARNESS FITTING,EARLY MEDIEVAL,1000,1000,PUBLIC-6F32DE
STIRRUP,EARLY MEDIEVAL,1000,1100,WILT-DC25A0
HARNESS FITTING,EARLY MEDIEVAL,1000,1100,WILT-1C1AAB
VESSEL,MEDIEVAL,1000,1500,WILT-01E5D5
STIRRUP,EARLY MEDIEVAL,1050,1100,WILT-96DC29
SCABBARD,MEDIEVAL,1050,1200,WILT-40FFD4
STRAP FITTING,EARLY MEDIEVAL,1050,1200,WILT-40DCF9
SCABBARD,MEDIEVAL,1050,1250,WILT-D53B05
MOUNT,MEDIEVAL,1066,1500,WILT-932C15
MOUNT,MEDIEVAL,1066,1500,WILT-929811
PENDANT,MEDIEVAL,1066,1500,WILT-DA6498
VESSEL,MEDIEVAL,1066,1539,WILT-77FE87
FINGER RING,MEDIEVAL,1066,1539,WILT-2C75F1
BUTTON,MEDIEVAL,1066,1539,WILT-90C380
BUTTON,MEDIEVAL,1066,1539,WILT-9087E3
FURNITURE FITTING,MEDIEVAL,1066,1539,WILT-971B41
BUCKLE,MEDIEVAL,1066,1539,WILT-DB4F11
MOUNT,MEDIEVAL,1066,1539,WILT-A1CA34
STRAP FITTING,MEDIEVAL,1066,1539,WILT-432A00
STRAP FITTING,MEDIEVAL,1066,1539,WILT-42C745
BUCKLE,MEDIEVAL,1066,1539,WILT-2DBE76
BUCKLE,MEDIEVAL,1066,1539,WILT-04BA93
BUCKLE,MEDIEVAL,1066,1539,WILT-03B263
BOOK FITTING,MEDIEVAL,1066,1539,WILT-B4C3B6
BROOCH,MEDIEVAL,1066,1539,WILT-9D9F65
BROOCH,MEDIEVAL,1066,1539,WILT-9C9942
MOUNT,MEDIEVAL,1066,1539,WILT-B53123
KEY (LOCKING),MEDIEVAL,1066,1539,WILT-B50EB7
STRAP FITTING,MEDIEVAL,1066,1539,WILT-B4F191
STRAP FITTING,MEDIEVAL,1066,1539,WILT-B4CAB1
STRAP FITTING,MEDIEVAL,1066,1539,WILT-B43195
BUCKLE,MEDIEVAL,1066,1539,WILT-B382F3
CHAPE,MEDIEVAL,1066,1539,NMGW-9C1926
BUCKLE,MEDIEVAL,1066,1539,PUBLIC-8F6963
UNIDENTIFIED OBJECT,MEDIEVAL,1066,1700,WILT-67E2D2
MOUNT,MEDIEVAL,1100,1200,WILT-00FC16
BUCKLE,MEDIEVAL,1100,1250,PUBLIC-A26AD8
KNIFE,MEDIEVAL,1100,1400,WILT-581BF6
BUCKLE,MEDIEVAL,1100,1400,WILT-054A15
STRAP END,MEDIEVAL,1100,1450,WILT-BCFDE3
VESSEL,MEDIEVAL,1100,1500,SOM-2E6743
BUCKLE,MEDIEVAL,1100,1500,WILT-40821B
KNIFE,MEDIEVAL,1100,1500,WILT-1B1723
MOUNT,MEDIEVAL,1100,1500,WILT-B0466C
STRAP END,MEDIEVAL,1100,1500,WILT-41E801
ANNULAR BROOCH,MEDIEVAL,1100,1500,WILT-14E07A
CRUCIFIX,MEDIEVAL,1100,1600,WILT-8A17A9
PRICK SPUR,UNKNOWN,1100,1700,WILT-72A674
BUCKLE,MEDIEVAL,1101,1200,WILT-CB7015
BUCKLE,MEDIEVAL,1101,1400,WILT-DA0328
BROOCH,MEDIEVAL,1101,1400,WILT-DA0704
STRAP FITTING,MEDIEVAL,1101,1400,WILT-C976E1
STRAP FITTING,MEDIEVAL,1101,1400,WILT-C93892
STRAP FITTING,MEDIEVAL,1101,1400,WILT-C92052
BUCKLE,MEDIEVAL,1101,1400,WILT-C8A064
BUCKLE,MEDIEVAL,1101,1400,WILT-B94FC7
BUCKLE,MEDIEVAL,1101,1400,WILT-B8F856
BUCKLE,MEDIEVAL,1101,1400,WILT-B80922
BUCKLE,MEDIEVAL,1101,1400,WILT-B7FAE7
STRAP FITTING,MEDIEVAL,1101,1400,WILT-78EC64
STRAP FITTING,MEDIEVAL,1101,1400,WILT-D0D007
STRAP FITTING,MEDIEVAL,1101,1400,WILT-DDA706
MOUNT,MEDIEVAL,1101,1400,WILT-DD89D7
STRAP FITTING,MEDIEVAL,1101,1400,WILT-DD6E93
BUTTON,MEDIEVAL,1101,1400,WILT-DD5A45
STRAP FITTING,MEDIEVAL,1101,1400,WILT-DD21C7
STRAP FITTING,MEDIEVAL,1101,1400,WILT-DD1196
STRAP FITTING,MEDIEVAL,1101,1400,WILT-DCC753
BUCKLE,MEDIEVAL,1101,1400,WILT-DC01F2
BUCKLE,MEDIEVAL,1101,1400,WILT-DBD890
BUCKLE,MEDIEVAL,1101,1400,WILT-D9B632
BUCKLE,MEDIEVAL,1101,1400,WILT-D99958
BUCKLE,MEDIEVAL,1101,1400,WILT-D94EA6
KEY (LOCKING),MEDIEVAL,1101,1400,WILT-CB3B81
KEY (LOCKING),MEDIEVAL,1101,1400,WILT-CAF2F5
STRAP FITTING,MEDIEVAL,1101,1400,WILT-A67F65
STRAP FITTING,MEDIEVAL,1101,1400,WILT-A66533
MOUNT,MEDIEVAL,1101,1400,WILT-A63CB6
MOUNT,MEDIEVAL,1101,1400,WILT-A63052
MOUNT,MEDIEVAL,1101,1400,WILT-A62103
MOUNT,MEDIEVAL,1101,1400,WILT-A60D24
STRAP FITTING,MEDIEVAL,1101,1400,WILT-A5B982
MOUNT,MEDIEVAL,1101,1400,WILT-A50F04
MOUNT,MEDIEVAL,1101,1400,WILT-A4AF04
BUCKLE,MEDIEVAL,1101,1400,WILT-91DA45
BUCKLE,MEDIEVAL,1101,1400,WILT-91A808
BUCKLE,MEDIEVAL,1101,1400,WILT-90A4E6
BUCKLE,MEDIEVAL,1101,1400,WILT-9043E7
STRAP FITTING,MEDIEVAL,1101,1400,WILT-8FDA85
KEY (LOCKING),MEDIEVAL,1101,1400,WILT-8F2535
STRAP FITTING,MEDIEVAL,1101,1400,WILT-7DD3B2
BUCKLE,MEDIEVAL,1101,1400,WILT-7DA652
BUCKLE,MEDIEVAL,1101,1400,WILT-7D7D50
STRAP FITTING,MEDIEVAL,1101,1400,WILT-7D4EF3
BUCKLE,MEDIEVAL,1101,1400,WILT-C80706
BUCKLE,MEDIEVAL,1101,1400,WILT-C7B0E5
BUCKLE,MEDIEVAL,1101,1400,WILT-C73702
BUCKLE,MEDIEVAL,1101,1400,WILT-C6A5A2
BUCKLE,MEDIEVAL,1101,1400,WILT-C3F300
BUCKLE,MEDIEVAL,1101,1400,WILT-C3C1E4
BUCKLE,MEDIEVAL,1101,1400,WILT-C35308
STRAP FITTING,MEDIEVAL,1101,1400,WILT-A69267
COIN,MEDIEVAL,1107,1107,WILT-B208C1
BUCKLE,MEDIEVAL,1150,1200,WILT-6DEA43
BUCKLE,MEDIEVAL,1150,1250,WILT-DC6194
HARNESS PENDANT,MEDIEVAL,1150,1350,WILT-93B346
KEY (LOCKING),MEDIEVAL,1150,1350,WILT-AFAB3B
KEY (LOCKING),MEDIEVAL,1150,1350,WILT-1965AF
BUCKLE,MEDIEVAL,1150,1350,WILT-6E4C63
STRAP FITTING,MEDIEVAL,1150,1400,WILT-25D235
STRAP FITTING,MEDIEVAL,1150,1400,WILT-269482
KEY (LOCKING),MEDIEVAL,1150,1400,PUBLIC-A87B9E
STRAP FITTING,MEDIEVAL,1150,1400,WILT-265CD1
STRAP END,MEDIEVAL,1150,1450,SOM-564945
STRAP END,MEDIEVAL,1150,1450,WILT-BE39A2
STRAP END,MEDIEVAL,1150,1450,WILT-BE630D
BUCKLE,MEDIEVAL,1150,1500,WILT-274011
UNIDENTIFIED OBJECT,MEDIEVAL,1150,1500,WILT-4EA271
MOUNT,MEDIEVAL,1150,1500,WILT-4CF772
COIN,MEDIEVAL,1158,1180,WILT-27B541
COIN,MEDIEVAL,1158,1180,WILT-924F26
COIN,MEDIEVAL,1158,1180,WILT-27D361
COIN,MEDIEVAL,1170,1180,WILT-791329
MOUNT,MEDIEVAL,1175,1350,WILT-CE97F3
CRUCIFIX,MEDIEVAL,1180,1220,WILT-3D303B
COIN,MEDIEVAL,1180,1242,WILT-DF1776
COIN,MEDIEVAL,1180,1247,WILT-7CA868
COIN,MEDIEVAL,1180,1247,WILT-7C7B9B
COIN,MEDIEVAL,1180,1247,WILT-7C1CDC
COIN,MEDIEVAL,1180,1247,WILT-E15764
COIN,MEDIEVAL,1180,1247,WILT-A5FCB4
COIN,MEDIEVAL,1192,1194,WILT-27E348
COIN,MEDIEVAL,1194,1200,WILT-7B2180
COIN,MEDIEVAL,1194,1205,WILT-91FB87
COIN,MEDIEVAL,1195,1205,WILT-70D50A
BROOCH,MEDIEVAL,1200,1250,WILT-207034
HARNESS PENDANT,MEDIEVAL,1200,1260,WILT-1ED6E5
BROOCH,MEDIEVAL,1200,1300,SOM-4A5B97
BROOCH,MEDIEVAL,1200,1300,WILT-B14B7F
BUCKLE,MEDIEVAL,1200,1350,WILT-D02F20
BROOCH,MEDIEVAL,1200,1400,WILT-D00453
BROOCH,MEDIEVAL,1200,1400,WILT-C8E02D
BROOCH,MEDIEVAL,1200,1400,WILT-EB30A1
HARNESS PENDANT,MEDIEVAL,1200,1400,PUBLIC-DDFE26
ANNULAR BROOCH,MEDIEVAL,1200,1400,WILT-1CE410
STRAP FITTING,MEDIEVAL,1200,1400,WILT-357FF1
STRAP FITTING,MEDIEVAL,1200,1400,WILT-356322
STRAP FITTING,MEDIEVAL,1200,1400,WILT-354E13
STRAP FITTING,MEDIEVAL,1200,1400,WILT-350260
MOUNT,MEDIEVAL,1200,1400,WILT-CFBEC4
STRAP END,MEDIEVAL,1200,1400,WILT-D0B6E8
STRAP END,MEDIEVAL,1200,1450,WILT-BCE91A
BUCKLE,MEDIEVAL,1200,1500,DOR-183AD4
BOOK FITTING,MEDIEVAL,1200,1500,WILT-1C15C6
UNIDENTIFIED OBJECT,MEDIEVAL,1200,1500,WILT-87E3C7
STRAP FITTING,MEDIEVAL,1200,1500,WILT-3C4913
BUCKLE,MEDIEVAL,1200,1500,WILT-092C86
MOUNT,MEDIEVAL,1200,1500,WILT-3AE113
STRAP END,MEDIEVAL,1200,1500,WILT-B97F71
STRAP END,MEDIEVAL,1200,1500,WILT-B957A2
PURSE,MEDIEVAL,1201,1300,WILT-A5CCE4
COIN,MEDIEVAL,1204,1205,WILT-E105F1
COIN,MEDIEVAL,1204,1205,WILT-E0D883
COIN,MEDIEVAL,1204,1218,WILT-0F99D1
COIN,MEDIEVAL,1205,1210,WILT-E19475
COIN,MEDIEVAL,1205,1210,WILT-27F561
COIN,MEDIEVAL,1207,1210,WILT-7BDABF
COIN,MEDIEVAL,1207,1222,WILT-DF6779
COIN,MEDIEVAL,1208,1217,SOM-2D9093
COIN,MEDIEVAL,1210,1242,WILT-A68B25
COIN,MEDIEVAL,1210,1242,WILT-A62FD8
COIN,MEDIEVAL,1217,1222,SOM-827B91
COIN,MEDIEVAL,1217,1242,WILT-796B07
COIN,MEDIEVAL,1217,1242,WILT-712D13
COIN,MEDIEVAL,1247,1248,WILT-22EE34
COIN,MEDIEVAL,1247,1250,WILT-7D21F5
COIN,MEDIEVAL,1247,1272,WILT-A6CA07
COIN,MEDIEVAL,1247,1272,WILT-A6B013
COIN,MEDIEVAL,1247,1272,WILT-B58D43
COIN,MEDIEVAL,1247,1272,WILT-A6E335
COIN,MEDIEVAL,1248,1248,WILT-22189C
COIN,MEDIEVAL,1248,1250,WILT-688973
COIN,MEDIEVAL,1248,1250,WILT-23123C
COIN,MEDIEVAL,1248,1250,WILT-2298A8
COIN,MEDIEVAL,1248,1250,SOM-81F4D4
COIN,MEDIEVAL,1248,1250,SOM-817D40
COIN,MEDIEVAL,1248,1250,WILT-8F6FC1
COIN,MEDIEVAL,1248,1250,WILT-8F2890
COIN,MEDIEVAL,1248,1250,WILT-8E89A0
COIN,MEDIEVAL,1248,1250,WILT-A70795
COIN,MEDIEVAL,1248,1250,WILT-2805A6
COIN,MEDIEVAL,1248,1250,WILT-8F9D22
COIN,MEDIEVAL,1248,1250,WILT-A724E6
COIN,MEDIEVAL,1248,1250,WILT-918D77
COIN,MEDIEVAL,1248,1272,WILT-A743C0
COIN,MEDIEVAL,1248,1272,WILT-B5C793
COIN,MEDIEVAL,1250,1256,WILT-22CC48
COIN,MEDIEVAL,1250,1256,SOM-81BD96
COIN,MEDIEVAL,1250,1256,WILT-8FE3E5
COIN,MEDIEVAL,1250,1256,WILT-CC6046
COIN,MEDIEVAL,1250,1265,WILT-8ED463
COIN,MEDIEVAL,1250,1265,WILT-914A61
COIN,MEDIEVAL,1250,1275,WILT-8E20F2
BUCKLE,MEDIEVAL,1250,1350,PUBLIC-A4F489
BUCKLE,MEDIEVAL,1250,1400,SOM-580261
BUCKLE,MEDIEVAL,1250,1400,PUBLIC-FA314C
BUCKLE,MEDIEVAL,1250,1400,WILT-42AC34
BUCKLE,MEDIEVAL,1250,1400,WILT-422B83
BUCKLE,MEDIEVAL,1250,1400,WILT-0949F4
STRAP END,MEDIEVAL,1250,1400,WILT-1CAD3B
STRAP FITTING,MEDIEVAL,1250,1400,WILT-4E64F8
BUCKLE,MEDIEVAL,1250,1400,WILT-3AEA14
BUCKLE,MEDIEVAL,1250,1400,WILT-050F21
BUCKLE,MEDIEVAL,1250,1400,WILT-090FD7
BUCKLE,MEDIEVAL,1250,1400,WILT-08F902
BUCKLE,MEDIEVAL,1250,1400,WILT-057406
BROOCH,MEDIEVAL,1250,1400,WILT-06FF33
BUCKLE,MEDIEVAL,1250,1400,WILT-0662F6
CLASP,MEDIEVAL,1250,1450,WILT-C87AA6
CLASP,MEDIEVAL,1250,1450,WILT-C85485
CLASP,MEDIEVAL,1250,1450,WILT-C7F3C7
CLASP,MEDIEVAL,1250,1450,WILT-DC2D73
CLASP,MEDIEVAL,1250,1450,WILT-8D2FE3
MOUNT,MEDIEVAL,1250,1450,WILT-3A76A7
BUCKLE,MEDIEVAL,1250,1450,WILT-3C7973
KEY (LOCKING),MEDIEVAL,1250,1450,WILT-B4C222
STRAP END,MEDIEVAL,1250,1450,WILT-852313
BUCKLE,MEDIEVAL,1250,1450,WILT-26E503
MOUNT,MEDIEVAL,1250,1450,WILT-BC5E57
MOUNT,MEDIEVAL,1250,1450,WILT-BC2E52
PURSE,MEDIEVAL,1250,1450,WILT-BBCC94
STRAP END,MEDIEVAL,1250,1450,WILT-376622
BUCKLE,MEDIEVAL,1250,1500,WILT-84EC90
BUCKLE,MEDIEVAL,1250,1500,PUBLIC-FD307F
COIN,MEDIEVAL,1251,1272,WILT-B60AC1
STRAP FITTING,MEDIEVAL,1270,1350,WILT-6D3CD0
STRAP FITTING,MEDIEVAL,1270,1350,WILT-6D2E91
STRAP FITTING,MEDIEVAL,1270,1350,WILT-6D0FF7
MOUNT,MEDIEVAL,1270,1350,WILT-BCD504
BROOCH,MEDIEVAL,1270,1400,WILT-6570FE
COIN,MEDIEVAL,1272,1307,WILT-683496
COIN,MEDIEVAL,1272,1307,WILT-B65687
COIN,MEDIEVAL,1272,1307,WILT-B62806
COIN,MEDIEVAL,1272,1327,WILT-B6C272
BUCKLE,MEDIEVAL,1275,1550,PUBLIC-22E7D9
BUCKLE,MEDIEVAL,1275,1550,PUBLIC-235796
COIN,MEDIEVAL,1279,1282,WILT-8F78F6
COIN,MEDIEVAL,1279,1291,WILT-A181A6
COIN,MEDIEVAL,1279,1300,WILT-B7C453
COIN,MEDIEVAL,1280,1280,WILT-B67AE8
COIN,MEDIEVAL,1280,1280,WILT-BBE371
COIN,MEDIEVAL,1280,1281,WILT-B76A43
COIN,MEDIEVAL,1282,1291,WILT-0E14E3
COIN,MEDIEVAL,1291,1343,WILT-A1AD72
COIN,MEDIEVAL,1293,1294,WILT-CF4EA6
COIN,MEDIEVAL,1299,1300,WILT-8D9DD4
STRAP END,MEDIEVAL,1300,1250,WILT-1A4B16
COIN,MEDIEVAL,1300,1301,WILT-B79CE5
COIN,MEDIEVAL,1300,1305,WILT-8FA365
COIN,MEDIEVAL,1300,1310,WILT-B94A42
COIN,MEDIEVAL,1300,1310,WILT-2379BB
COIN,MEDIEVAL,1300,1310,WILT-9288F0
COIN,MEDIEVAL,1300,1310,WILT-CC83C3
COIN,MEDIEVAL,1300,1335,WILT-CCBB94
COIN,MEDIEVAL,1300,1343,WILT-B7B499
STRAP FITTING,MEDIEVAL,1300,1400,WILT-DD3562
MOUNT,MEDIEVAL,1300,1400,WILT-C50504
HARNESS PENDANT,MEDIEVAL,1300,1400,WILT-CE406B
MOUNT,MEDIEVAL,1300,1400,WILT-38BC89
CANDLE HOLDER,MEDIEVAL,1300,1400,WILT-21F000
MOUNT,MEDIEVAL,1300,1400,WILT-4C9BC8
BROOCH,MEDIEVAL,1300,1400,WILT-3D821C
STRAP FITTING,MEDIEVAL,1300,1400,WILT-4D5856
BUCKLE,MEDIEVAL,1300,1400,WILT-0529C4
LANTERN,MEDIEVAL,1300,1425,WILT-231A15
STRAP END,MEDIEVAL,1300,1450,WILT-900537
BUCKLE,MEDIEVAL,1300,1450,WILT-0BE636
MOUNT,MEDIEVAL,1300,1500,PUBLIC-BFFFE9
HARNESS PENDANT,MEDIEVAL,1300,1500,WILT-3C744B
BUCKLE,MEDIEVAL,1300,1500,WILT-0C21E2
CHAPE,MEDIEVAL,1300,1600,WILT-19D321
SCABBARD,MEDIEVAL,1300,1600,WILT-1D84ED
FINGER RING,MEDIEVAL,1300,1600,WILT-03F0F4
TOKEN,POST MEDIEVAL,1300,1700,WILT-CE995F
